"","SITE_ID","DATE_COL","DATECHEM","PH_FIELD","PH_LAB","COND","ANC","TURB","TOC","DOC","NH4N_PPM","NO3_NO2","NTL_PPM","PTL","CL_PPM","NO3N_PPM","SO4_PPM","CA_PPM","MG_PPM","NA_PPM","K_PPM","COLOR","SIO2","NH4ION","CATSUM","ANSUM2","CHLA","SECMEAN","VISIT_NO","LAT_DD","LON_DD","ST","EPA_REG","URBAN","NUT_REG","NUTREG_NAME","ECO_NUTA","LAKE_ORIGIN","ECO3_X_ORIGIN","REF_CLUSTER","RT_NLA","HUC_2","HUC_8","DO2_2M","SAMPLED","REPEAT","ALBERS_X","ALBERS_Y","FLD_LON_DD","FLD_LAT_DD","STATE_NAME","CNTYNAME","NHDNAME","LAKENAME","MDCATY","WGT","WGT_NLA","ADJWGT_CAT","WSA_ECO3","WSA_ECO9","ECO_LEV_3","ECO_L3_NAM","REFCLUS_NAME","REF_NUTR","AREA_HA","SIZE_CLASS","LAKEAREA","LAKEPERIM","SLD","DEPTH_X","DEPTHMAX","ELEV_PT","COM_ID","REACHCODE","DATEPHAB","CLASSP","EcoP6","ssiBedBld","ssiNATBedBld","rviLowWood","RVegQ_7","RVegQ_8","L_RVegQ_8","LRCVQ_7A","LRCVQ_7B","LRCVQ_7C","LRCVQ_7D","LRCVQ_8D","L_LRCVQ_8D","ElevXLat","ElevDLat","ElevXLon","XER","XER_X_Elev","WMT","RDisIXAgAdj5","RDisIXAgAdj4","RDisIXAgAdj3","RDisIXAgAdj2","RDis_InEx","RDis_IX","RvegQ_Var","RVegQ","LogRVegQ","LitCvrQ_Var","LitCvrQ","LogLitCvrQ","LitRipCVQ_Var","LitRipCVQ","LogLitRipCvQ","RVeg_OE","LitCvr_OE","LitRipCvr_OE","DATE_SECCHI","NTL","CLEAR_TO_BOTTOM","TSTATE_TP","TSTATE_TN","TSTATE_CHL","TSTATE_SECCHI"
"11","NLA06608-0003","9/6/2007","9/6/2007",8.4,8.54,1120,4784.39,9.53,7.46,5.87,0.011,0.005,0.843,50,181.295,0.005,47.763,49.8,9.496,164.2,5.504,12,7.9,0.669052108,10550.18,10892.43,12.864,0.49,2,28.0477421,-97.8598661,"TX","Region_6","YES","X","Texas-Louisiana Coastal and Mississippi Alluvial Plains","CPL","NATURAL","PLNLOW NATURAL","D","TRASH",12,12110111,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9/6/2007",NA,NA,NA,NA,NA,NA
"12","NLA06608-0004","7/10/2007","7/10/2007",8.4,8.25,303.3,1656.42,3.81,9.09,8,0.024,0.005,0.344,18,1.802,0.005,60.253,34.03,8.557,11.1,1.472,13,2.763,1.573215454,2924.29,2961.72,4.6,1.8,1,37.4166201,-108.4045832,"CO","Region_8","YES","II","Western Forested Mountains","II","MAN-MADE","WMTNS MAN-MADE","G","SO-SO",14,14080202,6.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/10/2007",344,"","2: MESOTROPHIC (>10-25 ug/L)","1: OLIGOTROPHIC (<= 0.35 mg/L)","2: MESOTROPHIC (>2-7 ug/L)","3: EUTROPHIC (0.7-2.1 m)"
"13","NLA06608-0004","7/10/2007","7/10/2007",8.4,8.25,303.3,1656.42,3.81,9.09,8,0.024,0.005,0.344,18,1.802,0.005,60.253,34.03,8.557,11.1,1.472,13,2.763,1.573215454,2924.29,2961.72,4.6,1.8,2,37.4166201,-108.4045832,"CO","Region_8","YES","II","Western Forested Mountains","II","MAN-MADE","WMTNS MAN-MADE","G","SO-SO",14,14080202,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/10/2007",344,"","2: MESOTROPHIC (>10-25 ug/L)","1: OLIGOTROPHIC (<= 0.35 mg/L)","2: MESOTROPHIC (>2-7 ug/L)","3: EUTROPHIC (0.7-2.1 m)"
"14","NLA06608-0004","9/11/2007","9/11/2007",8.4,8.24,326.7,1950.26,7.41,8.49,7.86,0.016,0,0.584,44,1.911,0,56.93,36.59,9.08,11.4,1.666,8,5.651,1.014559298,3112.52,3189.45,12.42,NA,1,37.4166201,-108.4045832,"CO","Region_8","YES","II","Western Forested Mountains","II","MAN-MADE","WMTNS MAN-MADE","G","SO-SO",14,14080202,6.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","NLA06608-0004","9/11/2007","9/11/2007",8.4,8.24,326.7,1950.26,7.41,8.49,7.86,0.016,0,0.584,44,1.911,0,56.93,36.59,9.08,11.4,1.666,8,5.651,1.014559298,3112.52,3189.45,12.42,NA,2,37.4166201,-108.4045832,"CO","Region_8","YES","II","Western Forested Mountains","II","MAN-MADE","WMTNS MAN-MADE","G","SO-SO",14,14080202,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","NLA06608-0004","9/11/2007","9/11/2007",8.4,8.25,326.7,1940.58,7.33,8.44,7.86,0.018,0.005,0.596,46,1.893,0.005,56.175,36.04,8.946,11.36,1.648,10,5.576,1.17991159,3072.01,3163.54,14.72,1,1,37.4166201,-108.4045832,"CO","Region_8","YES","II","Western Forested Mountains","II","MAN-MADE","WMTNS MAN-MADE","G","SO-SO",14,14080202,6.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9/11/2007",596,"","3: EUTROPHIC (>25-50 ug/L)","2: MESOTROPHIC (>0.35-0.75 mg/","3: EUTROPHIC (>7 to 30 mg/L)","3: EUTROPHIC (0.7-2.1 m)"
"17","NLA06608-0004","9/11/2007","9/11/2007",8.4,8.25,326.7,1940.58,7.33,8.44,7.86,0.018,0.005,0.596,46,1.893,0.005,56.175,36.04,8.946,11.36,1.648,10,5.576,1.17991159,3072.01,3163.54,14.72,1,2,37.4166201,-108.4045832,"CO","Region_8","YES","II","Western Forested Mountains","II","MAN-MADE","WMTNS MAN-MADE","G","SO-SO",14,14080202,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9/11/2007",596,"","3: EUTROPHIC (>25-50 ug/L)","2: MESOTROPHIC (>0.35-0.75 mg/","3: EUTROPHIC (>7 to 30 mg/L)","3: EUTROPHIC (0.7-2.1 m)"
"18","NLA06608-0005","7/18/2007","7/18/2007",7.51,7.75,52.62,420.91,0.475,1.79,1.45,0.005,0.005,0.085,4,0.262,0.005,2.775,8.072,0.311,1.21,0.247,7,6.166,0.486051849,487.84,486.09,1.205,NA,1,43.9292093,-114.8403862,"ID","Region_10","NO","II","Western Forested Mountains","II","NATURAL","WMTNS NATURAL","F","REF",17,17060201,8.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/18/2007",NA,NA,NA,NA,NA,NA
"19","NLA06608-0005","7/18/2007","7/18/2007",7.51,7.75,52.62,420.91,0.475,1.79,1.45,0.005,0.005,0.085,4,0.262,0.005,2.775,8.072,0.311,1.21,0.247,7,6.166,0.486051849,487.84,486.09,1.205,NA,1,43.9292093,-114.8403862,"ID","Region_10","NO","II","Western Forested Mountains","II","NATURAL","WMTNS NATURAL","F","REF",17,17060201,8.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8/22/2007",NA,NA,NA,NA,NA,NA
"20","NLA06608-0005","7/18/2007","7/18/2007",7.51,7.75,52.62,420.91,0.475,1.79,1.45,0.005,0.005,0.085,4,0.262,0.005,2.775,8.072,0.311,1.21,0.247,7,6.166,0.486051849,487.84,486.09,1.205,NA,2,43.9292093,-114.8403862,"ID","Region_10","NO","II","Western Forested Mountains","II","NATURAL","WMTNS NATURAL","F","REF",17,17060201,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/18/2007",NA,NA,NA,NA,NA,NA
"21","NLA06608-0005","7/18/2007","7/18/2007",7.51,7.75,52.62,420.91,0.475,1.79,1.45,0.005,0.005,0.085,4,0.262,0.005,2.775,8.072,0.311,1.21,0.247,7,6.166,0.486051849,487.84,486.09,1.205,NA,2,43.9292093,-114.8403862,"ID","Region_10","NO","II","Western Forested Mountains","II","NATURAL","WMTNS NATURAL","F","REF",17,17060201,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8/22/2007",NA,NA,NA,NA,NA,NA
"22","NLA06608-0005","8/22/2007","8/22/2007",8.3,7.7,56.1,451.07,0.591,1.39,1.31,0.002,0,0.048,2,0.218,0,2.864,9.04,0.3,1.082,0.225,0,6.462,0.129805154,528.74,516.85,0.45,NA,1,43.9292093,-114.8403862,"ID","Region_10","NO","II","Western Forested Mountains","II","NATURAL","WMTNS NATURAL","F","REF",17,17060201,8.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/18/2007",NA,NA,NA,NA,NA,NA
"23","NLA06608-0005","8/22/2007","8/22/2007",8.3,7.7,56.1,451.07,0.591,1.39,1.31,0.002,0,0.048,2,0.218,0,2.864,9.04,0.3,1.082,0.225,0,6.462,0.129805154,528.74,516.85,0.45,NA,1,43.9292093,-114.8403862,"ID","Region_10","NO","II","Western Forested Mountains","II","NATURAL","WMTNS NATURAL","F","REF",17,17060201,8.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8/22/2007",NA,NA,NA,NA,NA,NA
"24","NLA06608-0005","8/22/2007","8/22/2007",8.3,7.7,56.1,451.07,0.591,1.39,1.31,0.002,0,0.048,2,0.218,0,2.864,9.04,0.3,1.082,0.225,0,6.462,0.129805154,528.74,516.85,0.45,NA,2,43.9292093,-114.8403862,"ID","Region_10","NO","II","Western Forested Mountains","II","NATURAL","WMTNS NATURAL","F","REF",17,17060201,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/18/2007",NA,NA,NA,NA,NA,NA
"25","NLA06608-0005","8/22/2007","8/22/2007",8.3,7.7,56.1,451.07,0.591,1.39,1.31,0.002,0,0.048,2,0.218,0,2.864,9.04,0.3,1.082,0.225,0,6.462,0.129805154,528.74,516.85,0.45,NA,2,43.9292093,-114.8403862,"ID","Region_10","NO","II","Western Forested Mountains","II","NATURAL","WMTNS NATURAL","F","REF",17,17060201,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8/22/2007",NA,NA,NA,NA,NA,NA
